Wavelength,Real,Imaginary
1.000000000000E-08,9.684160000000E-01,1.745000000000E-03
1.099000000000E-08,9.647780000000E-01,2.370000000000E-03
1.199000000000E-08,9.609530000000E-01,3.146000000000E-03
1.300000000000E-08,9.569540000000E-01,4.072000000000E-03
1.400000000000E-08,9.527920000000E-01,5.174000000000E-03
1.600000000000E-08,9.441240000000E-01,7.958000000000E-03
1.799000000000E-08,9.347440000000E-01,1.164000000000E-02
2.000000000000E-08,9.245830000000E-01,1.636000000000E-02
2.198000000000E-08,9.139730000000E-01,2.227000000000E-02
2.399000000000E-08,9.026940000000E-01,2.950000000000E-02
2.600000000000E-08,8.908370000000E-01,3.818000000000E-02
2.799000000000E-08,8.787660000000E-01,4.851000000000E-02
2.999000000000E-08,8.664930000000E-01,6.064000000000E-02
3.199000000000E-08,8.541410000000E-01,7.461000000000E-02
3.396000000000E-08,8.421710000000E-01,9.074000000000E-02
3.597000000000E-08,8.307200000000E-01,1.093000000000E-01
3.802000000000E-08,8.197530000000E-01,1.303000000000E-01
3.999000000000E-08,8.099970000000E-01,1.534000000000E-01
4.198000000000E-08,8.022910000000E-01,1.798000000000E-01
4.395000000000E-08,7.977370000000E-01,2.088000000000E-01
4.603000000000E-08,7.970070000000E-01,2.414000000000E-01
4.797000000000E-08,8.055790000000E-01,2.766000000000E-01
5.000000000000E-08,8.207420000000E-01,2.998000000000E-01
5.200000000000E-08,8.309570000000E-01,3.153000000000E-01
5.395000000000E-08,8.352400000000E-01,3.310000000000E-01
5.598000000000E-08,8.352950000000E-01,3.498000000000E-01
5.794000000000E-08,8.316280000000E-01,3.739000000000E-01
5.998000000000E-08,8.309010000000E-01,4.119000000000E-01
6.194000000000E-08,8.405750000000E-01,4.558000000000E-01
6.397000000000E-08,8.669940000000E-01,5.033000000000E-01
6.607000000000E-08,9.035270000000E-01,5.355000000000E-01
6.808000000000E-08,9.418010000000E-01,5.634000000000E-01
6.998000000000E-08,9.816920000000E-01,5.791000000000E-01
7.194000000000E-08,1.020921000000E+00,5.859000000000E-01
7.396000000000E-08,1.049744000000E+00,5.805000000000E-01
7.603000000000E-08,1.068724000000E+00,5.859000000000E-01
7.798000000000E-08,1.087685000000E+00,5.981000000000E-01
7.998000000000E-08,1.111682000000E+00,6.135000000000E-01
8.204000000000E-08,1.140628000000E+00,6.292000000000E-01
8.395000000000E-08,1.173382000000E+00,6.453000000000E-01
8.590000000000E-08,1.214969000000E+00,6.573000000000E-01
8.790000000000E-08,1.259495000000E+00,6.573000000000E-01
8.995000000000E-08,1.302663000000E+00,6.528000000000E-01
9.204000000000E-08,1.346760000000E+00,6.439000000000E-01
